C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:45 EST; neale; section_viewed_first_time; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:46 EST; neale; section_skipped; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:46 EST; neale; section_viewed; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:46 EST; neale; section_viewed_first_time; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:48 EST; neale; section_skipped; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:48 EST; neale; section_viewed; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-28-01/04/22 16:28:48 EST; neale; section_viewed_first_time; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-29-01/04/22 16:29:02 EST; neale; session_start; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-40-01/04/22 16:40:13 EST; neale; session_stop; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-06-01/06/22 09:06:50 EST; neale; session_start; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-06-01/06/22 09:06:58 EST; neale; section_skipped; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-07-01/06/22 09:07:20 EST; neale; section_skipped; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-07-01/06/22 09:07:20 EST; neale; section_viewed; ; ; ; 
C:/Users/neale/OneDrive - Neale Batra/Documents/Analytics-LAPTOP-RS5P2IBO/R/Projects/R handbook/training (v1.0); 2022-07-01/06/22 09:07:20 EST; neale; section_viewed_first_time; ; ; ; 
